_Glon,_Glat,recno,3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX,Simbad
278.447749,-53.0778369,213,J0244.8-5818,0,Y,RBS 0351,41.16829,-58.33175,0.026,0.037,bll,HSP,16.7,16.802,0.265,1.0,0.831,0.95,-0.776,92.6,S,157.0,16.541,,0.38,0.97,Simbad
153.750007,-31.8787263,214,J0245.4+2410,0,Y,B2 0242+23,41.32023,24.0931,0.096,0.11,fsrq,LSP,12.77,13.281,2.243,0.987,0.855,0.0,2.01,457.55,N,,20.051,,0.81,1.03,Simbad
261.8274952,-60.0939234,215,J0245.9-4651,0,Y,PKS 0244-470,41.50049,-46.85479,0.012,0.025,fsrq,LSP,13.12,13.497,1.385,1.0,0.976,0.886,0.987,1520.0,S,10.6,18.563,,0.79,1.01,Simbad
125.813613,22.4029422,216,J0249.1+8438,0,Y,NVSS J024948+843556,42.45139,84.59918,0.04,0.062,bcu II,LSP,13.74,13.74,,0.986,0.855,0.0,-0.321,160.07,N,,18.419,,0.54,1.57,Simbad
159.4467467,-37.0782598,217,J0250.6+1713,0,Y,NVSS J025037+171209,42.65817,17.20247,0.029,0.048,fsrq,HSP,16.085,16.407,1.1,0.998,0.83,0.903,-1.057,63.65,N,43.0,16.758,,0.37,1.12,Simbad
279.3735057,-51.2840952,218,J0251.5-5959,0,Y,PKS 0250-602,42.85936,-60.00174,0.019,0.152,fsrq,LSP,13.16,13.535,1.373,0.997,0.846,0.0,-0.024,281.5,S,,19.453,,0.76,,Simbad
147.5864744,-18.3855371,219,J0252.3+3830,0,Y,B2 0249+38,43.28703,38.59028,0.179,0.198,fsrq,LSP,12.774,13.101,1.122,0.878,0.821,0.0,0.791,663.26,N,,18.507,,0.65,,Simbad
209.7489543,-62.0955451,220,J0252.8-2218,0,Y,PKS 0250-225,43.19981,-22.32374,0.013,0.023,fsrq,LSP,12.865,13.25,1.427,1.0,0.954,0.0,1.411,443.55,N,,19.977,,0.84,0.98,Simbad
176.7084833,-51.0880036,221,J0253.0-0125,0,Y,FBQS J0253-0124,43.31522,-1.40152,0.061,0.117,bll,ISP,14.75,14.75,,0.992,0.0,0.0,,34.58,N,,19.332,18.34,0.45,1.69,Simbad
272.4924548,-54.6100651,222,J0253.1-5438,0,Y,PKS 0252-549,43.37159,-54.69762,0.065,0.126,fsrq,LSP,12.725,12.912,0.539,0.998,0.922,0.0,-0.026,946.3,S,16.3,17.056,,0.68,1.2,Simbad
150.9382338,-23.8579268,223,J0253.5+3216,0,Y,MG3 J025334+3217,43.39021,32.28914,0.021,0.044,bcu II,LSP,12.8,12.8,,0.998,0.862,0.0,0.099,80.65,N,,20.001,19.77,0.63,1.35,Simbad
170.1972869,-45.5840149,224,J0255.8+0532,0,Y,PMN J0255+0533,43.95638,5.56544,0.022,0.152,bcu II,LSP,13.705,13.705,,0.979,0.0,0.0,-0.117,103.89,N,,,19.34,0.59,,Simbad
