_Glon,_Glat,recno,3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XG,NED,FRad,n_FRad,FX,Simbad
256.8771445,3.7326662,90,J0841.3-3554,0,NVSS J084121-355506,130.34017,-35.91823,0.014,0.027,bcu II,HSP,15.956,15.956,,1.0,0.892,,NED,74.0,N,,Simbad
272.3161222,-7.4921166,91,J0845.1-5458,0,PMN J0845-5458,131.26034,-54.96904,0.021,0.039,bcu II,LSP,13.005,13.005,,1.0,0.981,0.828,NED,916.0,A,9.04,Simbad
252.5949947,9.2026139,92,J0849.5-2912,0,NVSS J084922-291149,132.3421,-29.19734,0.043,0.064,bcu II,ISP,14.504,14.504,,0.988,,,NED,21.3,N,,Simbad
257.7525075,5.2139071,93,J0849.9-3540,0,PMN J0849-3541,132.4401,-35.68369,0.034,0.052,bcu II,LSP,12.9,12.9,,1.0,0.913,,NED,376.0,N,,Simbad
275.3135827,-8.5064728,94,J0852.6-5756,0,PMN J0852-5755,133.16136,-57.92495,0.022,0.05,bcu II,LSP,13.076,13.076,,0.999,,0.858,NED,403.0,N,16.2,Simbad
259.1909367,4.9296734,95,J0853.0-3654,0,NVSS J085310-365820,133.29384,-36.97236,0.061,0.047,bcu II,HSP,15.66,15.66,,0.883,0.81,,NED,206.0,N,,Simbad
255.6101372,9.1975277,96,J0858.1-3130,0,1RXS J085802.6-313043,134.51195,-31.51118,0.029,0.091,bcu II,HSP,16.235,16.235,,,,0.913,NED,5.6,N,111.0,Simbad
259.3872288,7.8254696,97,J0904.8-3516,0,NVSS J090442-351423,136.17658,-35.2401,0.053,0.084,bcu II,ISP,14.171,14.171,,0.988,0.864,,NED,279.0,N,,Simbad
276.1166035,-7.0408789,98,J0904.8-5734,0,PKS 0903-57,136.22158,-57.58494,0.015,0.03,bcu I,ISP,14.664,14.893,0.695,1.0,1.0,,NED,1434.0,A,,Simbad
265.3515846,7.1902722,99,J0922.8-3959,0,PKS 0920-39,140.69341,-39.99307,0.017,0.165,bcu II,LSP,13.775,13.775,,0.999,0.948,,NED,2616.0,N,16.6,Simbad
281.88507,-6.3057268,100,J0940.7-6102,0,MRC 0939-608,145.19733,-61.12455,0.078,0.158,bcu II,LSP,13.671,13.671,,0.984,0.897,,NED,491.0,A,,Simbad
285.5266023,-7.8858123,101,J0956.7-6441,0,AT20G J095612-643928,149.05075,-64.65781,0.067,0.087,bcu II,LSP,13.285,13.285,,0.928,,,NED,70.0,A,,Simbad
277.9208628,4.3699944,102,J1005.0-4959,0,PMN J1006-5018,151.55837,-50.30374,0.37,0.197,bcu II,LSP,12.14,12.14,,,1.0,,NED,1177.0,A,,Simbad
